Sample_ID,site,site_shortcode,week,Region,season,date,year,size,size_code,total_organisms,C_Polychaete,P_Echinodermata,P_mollusca,sP_Crustacea,sP_Vertebrata,P_Sipuncula,unknown ,sC_Sedentaria ,sC_Errantia_Aciculata ,C_Ophiuroidea ,C_Echinoidea,C_Caudofoveata ,C_Bivalvia ,C_Gastropoda ,C_Scaphopoda,O_Amphipoda,sO_Cladocera ,sC_Copepoda ,O_Decapoda ,O_Cumacea ,C_Ostracoda ,fragments,temp,sal_psu,DO_sat,DO_mgL,pH,Chlorophyll_ugL,BGA_ugL,BGA_RFU,depth
ALMR_W02_IB_HS_SM,Almirante,ALMR,W02,IB,HS,10/24/17,2017,125,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.66,21.1,1.3,8.31,1,3.19,1.16,21.9
ALMR_W02_IB_HS_SM,Almirante,ALMR,W02,IB,HS,10/24/17,2017,combined,SUM,4,0,0,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30.3,36.66,21.1,1.3,8.31,1,3.19,1.16,21.9
ALMR_W03_IB_HS_LG,Almirante,ALMR,W03,IB,HS,11/2/17,2017,500,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.4,6.7,0.42,7.65,0.93,2.86,1.01,23.4
ALMR_W03_IB_HS_SM,Almirante,ALMR,W03,IB,HS,11/2/17,2017,250,SM,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,30.3,36.4,6.7,0.42,7.65,0.93,2.86,1.01,23.4
ALMR_W03_IB_HS_SM,Almirante,ALMR,W03,IB,HS,11/2/17,2017,125,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,36.4,6.7,0.42,7.65,0.93,2.86,1.01,23.4
ALMR_W03_IB_HS_SM,Almirante,ALMR,W03,IB,HS,11/2/17,2017,combined,SUM,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,30.3,36.4,6.7,0.42,7.65,0.93,2.86,1.01,23.4
ALMR_W04_IB_HS_LG,Almirante,ALMR,W04,IB,HS,11/7/17,2017,500,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,36.32,7.5,0.46,7.25,3.33,71.1,25.98,23.4
ALMR_W04_IB_HS_SM,Almirante,ALMR,W04,IB,HS,11/7/17,2017,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.4,36.32,7.5,0.46,7.25,3.33,71.1,25.98,23.4
ALMR_W04_IB_HS_SM,Almirante,ALMR,W04,IB,HS,11/7/17,2017,125,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,36.32,7.5,0.46,7.25,3.33,71.1,25.98,23.4
ALMR_W04_IB_HS_SM,Almirante,ALMR,W04,IB,HS,11/7/17,2017,combined,SUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.4,36.32,7.5,0.46,7.25,3.33,71.1,25.98,23.4
ALMR_W05_IB_HS_LG,Almirante,ALMR,W05,IB,HS,11/14/17,2017,500,LG,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,30.4,36.37,6.9,0.42,8.06,1.04,3.5,1.25,23
ALMR_W05_IB_HS_SM,Almirante,ALMR,W05,IB,HS,11/14/17,2017,250,SM,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30.4,36.37,6.9,0.42,8.06,1.04,3.5,1.25,23
ALMR_W05_IB_HS_SM,Almirante,ALMR,W05,IB,HS,11/14/17,2017,125,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30.4,36.37,6.9,0.42,8.06,1.04,3.5,1.25,23
ALMR_W05_IB_HS_SM,Almirante,ALMR,W05,IB,HS,11/14/17,2017,combined,SUM,5,3,1,1,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,9,30.4,36.37,6.9,0.42,8.06,1.04,3.5,1.25,23
ALMR_W06_IB_HS_LG,Almirante,ALMR,W06,IB,HS,11/24/17,2017,500,LG,4,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,30.8,35.58,8.9,0.55,8.81,3.88,3.48,0.7,23
ALMR_W06_IB_HS_SM,Almirante,ALMR,W06,IB,HS,11/24/17,2017,250,SM,6,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,30.8,35.58,8.9,0.55,8.81,3.88,3.48,0.7,23
ALMR_W06_IB_HS_SM,Almirante,ALMR,W06,IB,HS,11/24/17,2017,125,SM,3,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,30.8,35.58,8.9,0.55,8.81,3.88,3.48,0.7,23
ALMR_W06_IB_HS_SM,Almirante,ALMR,W06,IB,HS,11/24/17,2017,combined,SUM,13,0,0,10,1,0,1,1,0,0,0,0,0,4,6,0,0,0,1,0,0,0,2,30.8,35.58,8.9,0.55,8.81,3.88,3.48,0.7,23
ALMR_W07_IB_HS_LG,Almirante,ALMR,W07,IB,HS,11/29/17,2017,500,LG,13,2,0,1,0,0,0,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,30.8,35.59,7.1,0.44,8.11,3.37,2.49,0.5,23
ALMR_W07_IB_HS_SM,Almirante,ALMR,W07,IB,HS,11/29/17,2017,250,SM,6,0,0,3,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30.8,35.59,7.1,0.44,8.11,3.37,2.49,0.5,23
ALMR_W07_IB_HS_SM,Almirante,ALMR,W07,IB,HS,11/29/17,2017,125,SM,24,7,0,6,0,0,0,11,7,0,0,0,0,6,0,0,0,0,0,0,0,0,3,30.8,35.59,7.1,0.44,8.11,3.37,2.49,0.5,23
ALMR_W07_IB_HS_SM,Almirante,ALMR,W07,IB,HS,11/29/17,2017,combined,SUM,43,9,0,10,0,0,2,22,9,0,0,0,0,7,3,0,0,0,0,0,0,0,9,30.8,35.59,7.1,0.44,8.11,3.37,2.49,0.5,23
ALMR_W08_IB_HS_LG,Almirante,ALMR,W08,IB,HS,12/6/17,2017,500,LG,4,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,30.6,35.45,8,0.49,8.01,2.25,7.49,2.81,22.5
ALMR_W08_IB_HS_SM,Almirante,ALMR,W08,IB,HS,12/6/17,2017,250,SM,12,0,0,7,0,0,1,4,0,0,0,0,0,2,5,0,0,0,0,0,0,0,7,30.6,35.45,8,0.49,8.01,2.25,7.49,2.81,22.5
ALMR_W08_IB_HS_SM,Almirante,ALMR,W08,IB,HS,12/6/17,2017,125,SM,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6,35.45,8,0.49,8.01,2.25,7.49,2.81,22.5
ALMR_W08_IB_HS_SM,Almirante,ALMR,W08,IB,HS,12/6/17,2017,combined,SUM,19,0,0,10,0,0,4,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,8,30.6,35.45,8,0.49,8.01,2.25,7.49,2.81,22.5
ALMR_W09_IB_HS_LG,Almirante,ALMR,W09,IB,HS,12/14/17,2017,500,LG,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28.5,34.23,44.7,2.87,8.09,0.9,4.18,1.6,23.4
ALMR_W09_IB_HS_SM,Almirante,ALMR,W09,IB,HS,12/14/17,2017,250,SM,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.5,34.23,44.7,2.87,8.09,0.9,4.18,1.6,23.4
ALMR_W09_IB_HS_SM,Almirante,ALMR,W09,IB,HS,12/14/17,2017,125,SM,5,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,28.5,34.23,44.7,2.87,8.09,0.9,4.18,1.6,23.4
ALMR_W09_IB_HS_SM,Almirante,ALMR,W09,IB,HS,12/14/17,2017,combined,SUM,10,0,0,9,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,28.5,34.23,44.7,2.87,8.09,0.9,4.18,1.6,23.4
ALMR_W10_IB_HS_LG,Almirante,ALMR,W10,IB,HS,12/19/17,2017,500,LG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,27.6,34.66,57.2,3.72,8.22,0.81,3.65,1.4,23.9
ALMR_W10_IB_HS_SM,Almirante,ALMR,W10,IB,HS,12/19/17,2017,250,SM,8,0,0,8,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,1,27.6,34.66,57.2,3.72,8.22,0.81,3.65,1.4,23.9
ALMR_W10_IB_HS_SM,Almirante,ALMR,W10,IB,HS,12/19/17,2017,125,SM,49,10,2,21,7,0,9,0,2,8,2,0,0,15,6,0,0,0,7,0,0,0,0,27.6,34.66,57.2,3.72,8.22,0.81,3.65,1.4,23.9
ALMR_W10_IB_HS_SM,Almirante,ALMR,W10,IB,HS,12/19/17,2017,combined,SUM,58,10,2,30,7,0,9,0,2,8,2,0,0,18,12,0,0,0,7,0,0,0,5,27.6,34.66,57.2,3.72,8.22,0.81,3.65,1.4,23.9
ALMR_W11_IB_HS_LG,Almirante,ALMR,W11,IB,HS,12/27/17,2017,500,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,34.61,49.7,3.23,8.2,3.51,12.33,4.58,23.2
ALMR_W11_IB_HS_SM,Almirante,ALMR,W11,IB,HS,12/27/17,2017,250,SM,3,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,27.6,34.61,49.7,3.23,8.2,3.51,12.33,4.58,23.2
ALMR_W11_IB_HS_SM,Almirante,ALMR,W11,IB,HS,12/27/17,2017,combined,SUM,61,12,2,30,8,0,9,0,3,9,2,0,0,18,12,0,0,0,8,0,0,0,8,27.6,34.61,49.7,3.23,8.2,3.51,12.33,4.58,23.2
ALMR_W12_IB_NS_LG,Almirante,ALMR,W12,IB,NS,1/10/18,2018,500,LG,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,27.8,34.76,16,1.04,8.02,1.35,4.63,1.76,23.2
ALMR_W12_IB_NS_SM,Almirante,ALMR,W12,IB,NS,1/10/18,2018,250,SM,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27.8,34.76,16,1.04,8.02,1.35,4.63,1.76,23.2
ALMR_W12_IB_NS_SM,Almirante,ALMR,W12,IB,NS,1/10/18,2018,combined,SUM,65,13,2,33,8,0,9,0,4,9,2,0,0,19,14,0,0,0,8,0,0,0,12,27.8,34.76,16,1.04,8.02,1.35,4.63,1.76,23.2
ALMR_W13_IB_NS_LG,Almirante,ALMR,W13,IB,NS,1/17/18,2018,500,LG,3,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,27.8,34.56,19.2,1.25,8.05,4.88,8.17,3.05,23.4
ALMR_W13_IB_NS_SM,Almirante,ALMR,W13,IB,NS,1/17/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27.8,34.56,19.2,1.25,8.05,4.88,8.17,3.05,23.4
ALMR_W13_IB_NS_SM,Almirante,ALMR,W13,IB,NS,1/17/18,2018,combined,SUM,3,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,27.8,34.56,19.2,1.25,8.05,4.88,8.17,3.05,23.4
ALMR_W14_IB_NS_LG,Almirante,ALMR,W14,IB,NS,1/22/18,2018,500,LG,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27.8,34.5,15,0.97,8.06,0.51,3.58,1.38,22.6
ALMR_W14_IB_NS_SM,Almirante,ALMR,W14,IB,NS,1/22/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,34.5,15,0.97,8.06,0.51,3.58,1.38,22.6
ALMR_W14_IB_NS_SM,Almirante,ALMR,W14,IB,NS,1/22/18,2018,combined,SUM,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27.8,34.5,15,0.97,8.06,0.51,3.58,1.38,22.6
ALMR_W15_IB_NS_LG,Almirante,ALMR,W15,IB,NS,1/29/18,2018,500,LG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,34.81,33.7,2.2,8.22,3.91,12.66,4.7,23.1
ALMR_W15_IB_NS_SM,Almirante,ALMR,W15,IB,NS,1/29/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,34.81,33.7,2.2,8.22,3.91,12.66,4.7,23.1
ALMR_W15_IB_NS_SM,Almirante,ALMR,W15,IB,NS,1/29/18,2018,combined,SUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,34.81,33.7,2.2,8.22,3.91,12.66,4.7,23.1
ALMR_W16_IB_NS_LG,Almirante,ALMR,W16,IB,NS,2/6/18,2018,500,LG,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26.8,34.95,56.3,3.7,8.35,2.07,6.29,2.37,22.7
ALMR_W16_IB_NS_SM,Almirante,ALMR,W16,IB,NS,2/6/18,2018,250,SM,11,2,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,4,5,0,0,0,5,26.8,34.95,56.3,3.7,8.35,2.07,6.29,2.37,22.7
ALMR_W16_IB_NS_SM,Almirante,ALMR,W16,IB,NS,2/6/18,2018,combined,SUM,13,2,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,4,6,1,0,0,5,26.8,34.95,56.3,3.7,8.35,2.07,6.29,2.37,22.7
ALMR_W17_IB_NS_LG,Almirante,ALMR,W17,IB,NS,2/14/18,2018,500,LG,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,27,35.12,57,3.73,8.34,3.94,6.94,2.61,23.8
ALMR_W17_IB_NS_SM,Almirante,ALMR,W17,IB,NS,2/14/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,35.12,57,3.73,8.34,3.94,6.94,2.61,23.8
ALMR_W17_IB_NS_SM,Almirante,ALMR,W17,IB,NS,2/14/18,2018,combined,SUM,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,27,35.12,57,3.73,8.34,3.94,6.94,2.61,23.8
ALMR_W18_IB_NS_LG,Almirante,ALMR,W18,IB,NS,2/21/18,2018,500,LG,6,0,0,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,27.1,35.16,53,3.46,8.33,8.5,13.84,5.13,21.8
ALMR_W18_IB_NS_SM,Almirante,ALMR,W18,IB,NS,2/21/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1,35.16,53,3.46,8.33,8.5,13.84,5.13,21.8
ALMR_W18_IB_NS_SM,Almirante,ALMR,W18,IB,NS,2/21/18,2018,combined,SUM,6,0,0,6,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,27.1,35.16,53,3.46,8.33,8.5,13.84,5.13,21.8
ALMR_W20_IB_NS_LG,Almirante,ALMR,W20,IB,NS,3/6/18,2018,500,LG,5,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,27.5,35.58,79.9,5.17,8.47,2.76,7.16,2.69,23.2
ALMR_W20_IB_NS_SM,Almirante,ALMR,W20,IB,NS,3/6/18,2018,250,SM,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,27.5,35.58,79.9,5.17,8.47,2.76,7.16,2.69,23.2
ALMR_W20_IB_NS_SM,Almirante,ALMR,W20,IB,NS,3/6/18,2018,combined,SUM,7,2,0,5,0,0,0,0,0,2,0,0,0,1,4,0,0,0,0,0,0,0,5,27.5,35.58,79.9,5.17,8.47,2.76,7.16,2.69,23.2
ALMR_W22_IB_NS_LG,Almirante,ALMR,W22,IB,NS,3/20/18,2018,500,LG,6,0,0,6,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,27.6,35.58,49.4,3.19,8.36,5.35,15.11,5.6,22.9
ALMR_W22_IB_NS_SM,Almirante,ALMR,W22,IB,NS,3/20/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,35.58,49.4,3.19,8.36,5.35,15.11,5.6,22.9
ALMR_W22_IB_NS_SM,Almirante,ALMR,W22,IB,NS,3/20/18,2018,125,SM,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.6,35.58,49.4,3.19,8.36,5.35,15.11,5.6,22.9
ALMR_W22_IB_NS_SM,Almirante,ALMR,W22,IB,NS,3/20/18,2018,combined,SUM,7,0,0,6,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,1,27.6,35.58,49.4,3.19,8.36,5.35,15.11,5.6,22.9
ALMR_W23_IB_NS_LG,Almirante,ALMR,W23,IB,NS,3/27/18,2018,500,LG,4,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,27.8,35.61,45,2.9,8.34,7.14,14.45,5.35,23.6
ALMR_W23_IB_NS_SM,Almirante,ALMR,W23,IB,NS,3/27/18,2018,250,SM,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,27.8,35.61,45,2.9,8.34,7.14,14.45,5.35,23.6
ALMR_W23_IB_NS_SM,Almirante,ALMR,W23,IB,NS,3/27/18,2018,125,SM,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8,35.61,45,2.9,8.34,7.14,14.45,5.35,23.6
ALMR_W23_IB_NS_SM,Almirante,ALMR,W23,IB,NS,3/27/18,2018,combined,SUM,6,2,0,4,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,3,27.8,35.61,45,2.9,8.34,7.14,14.45,5.35,23.6
ALMR_W24_IB_NS_LG,Almirante,ALMR,W24,IB,NS,4/3/18,2018,500,LG,11,0,0,9,2,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,0,1,28,35.63,57.6,3.7,8.02,8.41,17.84,6.59,23
ALMR_W24_IB_NS_SM,Almirante,ALMR,W24,IB,NS,4/3/18,2018,250,SM,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,35.63,57.6,3.7,8.02,8.41,17.84,6.59,23
ALMR_W24_IB_NS_SM,Almirante,ALMR,W24,IB,NS,4/3/18,2018,combined,SUM,14,3,0,9,2,0,0,0,3,0,0,0,0,0,9,0,0,0,1,1,0,0,2,28,35.63,57.6,3.7,8.02,8.41,17.84,6.59,23
ALMR_W25_IB_NS_LG,Almirante,ALMR,W25,IB,NS,4/10/18,2018,500,LG,6,1,0,4,1,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,5,28.2,35.66,68.2,4.36,8.07,17.01,23.89,8.81,23.1
ALMR_W25_IB_NS_SM,Almirante,ALMR,W25,IB,NS,4/10/18,2018,250,SM,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,28.2,35.66,68.2,4.36,8.07,17.01,23.89,8.81,23.1
ALMR_W25_IB_NS_SM,Almirante,ALMR,W25,IB,NS,4/10/18,2018,combined,SUM,8,2,0,4,2,0,0,0,0,2,0,0,0,3,1,0,0,0,2,0,0,0,5,28.2,35.66,68.2,4.36,8.07,17.01,23.89,8.81,23.1
ALMR_W26_IB_NS_LG,Almirante,ALMR,W26,IB,NS,4/18/18,2018,500,LG,5,0,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,28.4,35.74,57.5,3.66,8.02,8.21,10.18,3.79,22.8
ALMR_W26_IB_NS_SM,Almirante,ALMR,W26,IB,NS,4/18/18,2018,250,SM,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28.4,35.74,57.5,3.66,8.02,8.21,10.18,3.79,22.8
ALMR_W26_IB_NS_SM,Almirante,ALMR,W26,IB,NS,4/18/18,2018,combined,SUM,7,1,0,4,2,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,4,28.4,35.74,57.5,3.66,8.02,8.21,10.18,3.79,22.8
ALMR_W27_IB_NS_LG,Almirante,ALMR,W27,IB,NS,4/24/18,2018,500,LG,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,28.6,35.85,62.5,3.96,8.08,4.67,8.85,3.3,22.4
ALMR_W27_IB_NS_SM,Almirante,ALMR,W27,IB,NS,4/24/18,2018,250,SM,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,28.6,35.85,62.5,3.96,8.08,4.67,8.85,3.3,22.4
ALMR_W27_IB_NS_SM,Almirante,ALMR,W27,IB,NS,4/24/18,2018,combined,SUM,4,2,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,2,28.6,35.85,62.5,3.96,8.08,4.67,8.85,3.3,22.4
ALMR_W28_IB_NS_LG,Almirante,ALMR,W28,IB,NS,5/2/18,2018,500,LG,3,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,28.683,35.82,41.4,2.62,7.99,3.93,8.17,3.06,22.514
ALMR_W28_IB_NS_SM,Almirante,ALMR,W28,IB,NS,5/2/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.683,35.82,41.4,2.62,7.99,3.93,8.17,3.06,22.514
ALMR_W28_IB_NS_SM,Almirante,ALMR,W28,IB,NS,5/2/18,2018,combined,SUM,3,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,28.683,35.82,41.4,2.62,7.99,3.93,8.17,3.06,22.514
ALMR_W29_IB_NS_LG,Almirante,ALMR,W29,IB,NS,5/9/18,2018,500,LG,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,28.688,35.86,41.3,2.62,8.03,4.38,8.59,3.21,22.382
ALMR_W29_IB_NS_SM,Almirante,ALMR,W29,IB,NS,5/9/18,2018,250,SM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.688,35.86,41.3,2.62,8.03,4.38,8.59,3.21,22.382
ALMR_W29_IB_NS_SM,Almirante,ALMR,W29,IB,NS,5/9/18,2018,combined,SUM,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,28.688,35.86,41.3,2.62,8.03,4.38,8.59,3.21,22.382
